Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Investor,Founders
GoBolt,Logistics,Series B,"$20,000,000 ",Gurugram,"GoBOLT is a tech-logistics company operating in Line Haul & Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.",2015,"Paragon Partners, Aavishkaar Capital","Naitik Baghla, Parag Aggarwal, Sumit Sharma"
Slice,FinTech,,"$20,000,000 ",Bangalore,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards.",2016,"Gunosy, Blume Ventures",Rajan Bajaj
MyGlamm,Beauty products,Series C,"$20,000,000 ",Mumbai,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,2015,Bessemer Venture Partners,Darpan Sanghvi
NODWIN,Gaming,,"$20,000,000 ",Gurugram,NODWIN Gaming is a gaming solutions company and creator of e-sports events.,2012,Krafton,Gautam Virk
Ecom Express,E-commerce,,"$20,000,000 ",New Delhi,Ecom Express is an end-to-end technology-enabled logistics solutions provider to the Indian e-commerce industry.,2012,"CDC Group, Partners Group","K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan"
Wakefit,Furniture,Series C,"$20,000,000 ",Bangalore,"A home solutions and sleep company, currently collaborating with the world's biggest sleep influencer.",2014,SIG,"Ankit Garg, Chaitanya Ramalingegowda"
Wonderchef,Consumer Goods,,"$20,000,000 ",Mumbai,"Wonderchef Cookware and Appliances is a perfect blend of health, taste, and convenience that inspires us to 'cook with pride'.",2009,"Sixth Sense Ventures, Godrej Family office, Malpani Group",Ravi Saxena
Velocity,Financial Services,Series A,"$20,000,000 ",Bangalore,"Velocity provides revenue based financing, up to Rs 3 crores, for marketing and inventory spends of online businesses.",2020,Valar Ventures,"Saurav Swaroop, Abhiroop Medhekar, Atul Khichariya"
Haber,Industrial Automation,Series B,"$20,000,000 ",Pune,"Real-time, automated insights to increase plant efficiency",2017,Ascent Capital,"Vipin Raghavan, Priya Venkat, Arjunan PN"
Adda247,E-learning,Series B,"$20,000,000 ",Gurugram,"The multilingual edtech platform provides 360 degree learning solutions catering to all major educational needs of Tier II, tier III including online courses for  competitive exams",2016,WestBridge Capital,"Anil Nagar, Saurabh Bansal"
Vahdam,Food & Beverages,Series D,"$20,000,000 ",New Delhi,VAHDAM is among the world’s first vertically integrated online-first tea brands.,2015,IIFL AMC,Bala Sarda
Arya,AgriTech,Series B,"$21,000,000 ",Noida,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",1982,Quona Capital,"Chattanathan Devarajan, Prasanna Rao, Anand Chandra"
DealShare,E-commerce,Series C,"$21,000,000 ",Jaipur,DealShare is a Social Commerce Startup,2018,"Falcon Edge Capital, Omidyar Network","Sankar Bora, Sourjyendu Medda, Vineet Rao"
MPowered,SaaS,Pre series A,"$21,000,000 ",Gurugram,Asset Management Solutions,,"Ashok Nichani, Shelly Nichani",Sudeep Singh
Zetwerk,Marketplace,Series C,"$21,000,000 ",Bangalore,B2B marketplace that connects manufacturing companies for industrial equipements,2018,Greenoaks,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary"
iBus,Telecommuncation,,"$21,000,000 ",Bangalore,iBus Networks is an in-building connectivity solutions company,2010,Morgan Stanley,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan"
AgNext,AgriTech,Series A,"$21,000,000 ",Chandigarh,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",2016,Alpha Wave Incubation,Taranjeet Singh Bhamra
Simple Energy,Automotive,Pre-series,"$21,000,000 ",Bangalore,A Research and development driven company on a mission to build the future of mobility that is electric and connected.,2019,,Suhas Rajkumar
Chaayos,Beverages,,"$21,500,000 ",,Provides customised range of tea,2012,Think Investment,"Nitin Saluja, Raghav Verma"
JusPay,Fintech,Series B,"$21,600,000 ",Bangalore,Online payment solutions,,Vostok Emerging Finance,Vimal Kumar
Duroflex Pvt. Ltd.,"Consumer Goods, Manufacturing",Private Equity,22000000,"Alleppey, Kerala, India",Duroflex Pvt. Ltd. operates as a dominant mattress player., , , 
Appnomic,SaaS,,"$22,000,000 ",Bangalore,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",,Avataar Ventures,D Padmanabhan
ShopUp,E-commerce,Series A,"$22,000,000 ",Bangaldesh,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",2017,"Flourish Ventures, Lonsdale Capital","Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar"
Pocket FM,OTT,Series B,"$22,000,000 ",Bangalore,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.",2018,"Lightspeed, Times Group, Tanglin Venture Partners","Rohan, Nishanth Srinivas, Prateek Dixit"
CityMall,E-commerce,Series B,"$22,000,000 ",Gurugram,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,2019,"General Catalyst, Jungle Ventures","Angad Kikla, Naisheel Verdhan"
Moglix,"B2B, E-Commerce, Mobile",Series C,"$23,000,000 ","Noida, Uttar Pradesh, India","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.", , , 
Servify,Service industry,Series C,"$23,000,000 ",Mumbai,Servify is a self-learning platform that provides device management services and warranty solutions.,2015,"Blume Ventures, Tetrao",Sreevathsa Prabhakar
Umeed Housing,Fintech,Series D,"$23,000,000 ",Haryana,Housing finance company,,Morgan Stanley Private Equity Asia,Ashutosh Sharma
Skit,AI startup,Series B,"$23,000,000 ",Bangalore,Enabling enterprises to automate their contact centre operations using Voice AI.,2016,Westbridge Capital,"Sourabh Gupta, Akshay Deshraj"
Aye Finance,Fintech,,"$23,850,000 ",Gurugram,A finance lender to SMEs,2014,Undisclosed,"Vikram Jetley, Sanjay Sharma"
DailyHunt,Media,,"$24,000,000 ",,News aggregator,,"Bytedance, Falcon Edge, Goldman Sachs, Advent Management",Virendra Gupta
Vedantu,Edtech,Series C,"$24,000,000 ",Bangalore,Onine learning platform,,GGV Capital,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna"
NephroPlus,Hospital & Health Care,Series E,"$24,000,000 ",Hyderabad,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",2009,IIFL Asset Management,Vikram Vuppala
NephroPlus,Hospital & Health Care,Series E,"$24,000,000 ",Hyderabad,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",2009,IIFL Asset Management,Vikram Vuppala
FarMart,AgriTech,Pre-series A,"$24,000,000 ",Gurugram,FarMart is a micro-SaaS platform that helps food businesses source high quality produce at affordable prices,2015,"Omidyar Network India, Avaana Capital","Alekh Sanghera, Mehtab Singh Hans"
Mosaic Wellness,"Health, Wellness & Fitness",Series A,"$24,000,000 ",Mumbai,A platform of digital first health clinics for men and women,2019,Sequoia,Dhyanesh Shah
Melorra,D2C jewellery,,"$24,000,000 ",Bangalore,A company that styles jewellery for the contemporary wardrobe.,2015,"9Unicorns, Symphony International Holdings Limited, Value Quest",Saroja Yeramili
BetterPlace,Information Technology & Services,Series C,"$24,000,000 ",Bangalore,"BetterPlace is India’s largest technology platform delivering digital solutions for blue-collar workforce management, throughout the entire value chain.",2014,"Jungle Ventures, CX Partners",Pravin Agarwala
FarEye,Logistics,Series D,"$24,500,000 ",Delhi,"It enables businesses to execute, track, predict and oprimize the movements of goods",,"M12, Honeywell venture capital, Eight Roads Venture","Gaurav Srivastava, Gautam Kumar, Kushal Nahata"
Nykaa,Fashion,,"$24,700,000 ",Mumbai,Cosmetics & beauty products online,2012,Steadview Capital,Falguni Nayar
Licious,"Delivery Service, Food and Beverage, Food Delivery",Series C,25000000,"Bengaluru, Karnataka, India","Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat.", , , 
Licious,Food,Series D,"$25,000,000 ",Bangalore,Online meat shop,2015,Vertex Ventures,"Vivek Gupta, Abhay Hanjura"
Country Delight,Dairy startup,Series C,"$25,000,000 ",Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2015,"IIFL Asset Management, Matrix Partners","Chakradhar Gade, Nitin Kaushal"
Country Delight,Food and Beverages,Series C,"$25,000,000 ",Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2015,"Orios Venture Partners, Matrix Partners India","Chakradhar Gade, Nitin Kaushal"
Your MD,Healthcare,,"$25,000,000 ","London, England, United Kingdom",Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,2012,"Orkla Ventures, Smedvig Capital","Alessandro Traverso, Birger Lie, Harald Jellum, Matteo Berlucchi"
Coralogix,SaaS startup,Series B,"$25,000,000 ","San Francisco, California, United States",Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,2013,"2B Angels, Janvest Capital Partners","Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin"
Hopscotch,E-commerce,,"$25,000,000 ",Mumbai,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",2011,"Marc Lore, Rise Capital",Rahul Anand
Hasura,Software Company,Series B,"$25,000,000 ",San Francisco,"Builds developer tooling products, including open source tools, backend",2017,"Nexus Venture Partners, Sam Lambert","Tanmai Gopal, Rajoshi Ghosh"
Drishti Technologies,AI,Series B,"$25,000,000 ",Bangalore,"AI-based video analytics, data, and insights bring benefits to manufacturers",,Sozo Ventures,Prasad Akella
MoEngage,Marketing,Series C,"$25,000,000 ",Bangalore,Customer analytics and cross-channel engagement platform,,Eight Roads Ventures,"Raviteja Dodda, Yashwanth Kumar"
CoinSwitch Kuber,FinTech,Series B,"$25,000,000 ",Bangalore,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,2017,"Paradigm, Kunal Shah","Ashish Singhal, Govind Soni, Vimal Sagar Tiwari"
upGrad,EdTech,,"$25,000,000 ",Mumbai,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.",2015,India Infoline Finance,"Phalgun Kompalli, Ronnie Screwvala, Mayank Kumar"
Credgenics,Financial Services,Series A,"$25,000,000 ",New Delhi,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,2018,"Westbridge Capital, Tanglin Venture Partners","Rishabh Goel, Mayank Khera, Anand Agrawal"
Credenc,FinTech,,"$25,000,000 ",New Delhi,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,2017,Capital India,Avinash Kumar
Square Yards,Real Estate,,"$25,000,000 ",Gurugram,India’s largest tech enabled Real Estate Brokerage and Mortgage Marketplace,2014,ADM Capital,Tanuj Shori
Park+,Tech startup,Series B,"$25,000,000 ",New Delhi,Building an eco-system for car owners which will be a one-stop solution for all their needs.,2019,"Sequoia Capital, Matrix Partners",Amit Lakhotia
Design Cafe,Design,,"$25,000,000 ",Bangalore,Design Cafe is on a mission to democratize good design for homes in India.,2015,"Westbridge Capital, Sixth Sense Ventures","Shezan Bhojani, Gita Ramanan"
Observe.AI,AI,Series A,"$26,000,000 ",Bangalore,Creates a voice AI platform,,Scale Venture Partners,Swapnil
KredX,,Series B,"$26,000,000 ",Bangalore,Invoice discounting platform,,Tiger Global Management,Manish Kumar
WeWork India,Hospitality,,"$26,000,000 ",Bangalore,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",2017,,Karan Virwani
Avanti Finance,FinTech,Series A,"$26,000,000 ",Bangalore,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,2016,Michael & Susan Dell Foundation,"Ratan Tata, Nandan Nilekani"
Kutumb,Community platform,Series A,"$26,000,000 ",Bangalore,Kutumb is a social community enabler.,2020,"Tiger Global Management, DST Global","Mohit Sharma, Naveen Dewangan, Vipul Allawadhi"
CollegeDekho,EdTech,Series B,"$26,000,000 ",Gurugram,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals.",2015,"Winter Capital, ETS, Man Capital",Ruchir Arora
Rebel Foods,Food tech,Series E2,"$26,500,000 ",Mumbai,Cloud kitchen platform,2011,Coatue Management,"Jaydeep Barman, Kallol Bannerjee"
Ola Financial Services,Fintech,Series A,"$27,000,000 ",Bangalore,It operates Ola Money,,Matrix Partners,Bhavish Aggarwal
DotPe,FinTech,Series A,"$27,000,000 ",Gurugram,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,2019,"PayU, Google","Anurag Gupta, Gyanesh Sharma, Shailaz Nag"
Aye Finance,Fintech,Series E,"$27,700,000 ",Gurugram,A finance lender to SMEs,2014,"Capital G, Alphabet's Independent growth fund","Vikram Jetley, Sanjay Sharma"
Belstar Investment and Finance Private Limited,"Financial Services, Micro Lending",Venture - Series Unknown,28000000,"Chennai, Tamil Nadu, India",Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs., , , 
Eduisfun,Edtech,Fresh funding,"$28,000,000 ",Mumbai,It aims to make learning fun via games.,,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",Jatin Solanki
True Balance,FinTech,,"$28,000,000 ",Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2014,"IBK Capital, SB Partners","Cheolwon Lee, Jay Yi, Martin Lee"
LEAD School,EdtTech,Series C,"$28,000,000 ",Mumbai,Offers a high-end digital classroom system focused on enhancing the learning experience,2012,"Westbridge Capital, Elevar Equity","Sumeet Mehta, Smita Deorah"
Dunzo,Tech,Series E,"$28,000,000 ",Bangalore,Order online and get free delivery from your nearby restaurants,2014,"Wes Schwalje, Alteria Capital","Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha"
LEAD School,EdTech,Series C,"$28,000,000 ",Mumbai,Offers an integrated system for schools by helping them digitize the entire curriculum,2012,"WestBridge Capital, Elevar Equity","Sumeet Yashpal Mehta, Smita Deorah"
Miko,Consumer Electronics,,"$28,000,000 ",Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",2015,"IIFL AMC, Mankind Pharma Family Office, Aroa Ventures","Sneh R Vaswani, Prashant V Iyengar, Chintan S Raikar"
Sunstone Eduversity,EdTech,Series B,"$28,000,000 ",Gurugram,Sunstone Eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,2011,WestBridge Capital,"Ashish Munjal, Piyush Nangru"
Vivriti Capital,Financial Services,Venture - Series Unknown,"$28,500,000 ","Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India., , , 
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt,"$30,000,000 ","New Delhi, Delhi, India",Satin is a non-banking finance company providing individual loans to urban shopkeepers., , , 
Veritas Finance,Financial Services,Venture - Series Unknown,30000000,"Guindy, Tamil Nadu, India",Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus., , , 
Droom Technology Private Limited,"Automotive, E-Commerce Platforms, Marketplace",Series E,30000000,"Gurgaon, Haryana, India",Droom is a marketplace for automobiles and automobile services., , , 
Kissht,"Credit, Finance, FinTech, Lending, Sales Automation",Series C,30000000,"Mumbai, Maharashtra, India","Kissht is a financial technology platform that enables instant, seamless credit for consumers to make purchases at digital points of sales", , , 
HomeLane,Interior design,Series D,"$30,000,000 ",Chennai,Provides interior designing solutions,2014,"Evolvence India Fund (EIF), Pidilite Group, FJ Labs","Srikanth Iyer, Rama Harinath"
Licious,Food,Series E,"$30,000,000 ",Bangalore,Online meat shop,,Vertex Growth Fund,"Vivek Gupta, Abhay Hanjura"
Purplle,Cosmetics,Series C,"$30,000,000 ",Mumbai,Online makeup and beauty products retailer,2012,Goldman Sachs,"Manish Taneja, Rahul Dash"
Vistaar Finance,Finance company,,"$30,000,000 ",Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,2010,FMO,"Brahmanad, Ramakrishna Nishtala"
Turtlemint,HealthTech,,"$30,000,000 ",Mumbai,Turtlemint has built Indian personalized insurance platform,2015,"Nexus Venture Partners, Dream Incubator","Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah"
Ninjacart,Food Industry,,"$30,000,000 ",Bangalore,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",2015,"Syngenta Ventures, Walmart","Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan"
Public,Social Media,,"$30,000,000 ",New Delhi,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,2019,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners",Azhar Iqubal
Onsitego,Customer service company,Series B,"$30,000,000 ",Mumbai,Onsitego is a customer service company for device and appliance repairs.,2010,"Accel, Zodius Capital",Kunal Mahipal
Groww,FinTech,Series C,"$30,000,000 ",Bangalore,Leading Investment and Trading Platform,2016,"Y Combinator, Ribbit Capital","Lalit Keshre, Harsh Jain, Neeraj Singh, Ishan Bansal"
NoBroker,Real Estate,,"$30,000,000 ",Bangalore,Online real estate rental startup,2014,General Atlantic,"Amit Kumar Agarwal, Akhil Gupta, Saurabh Garg"
SMEcorner,Fintech,Series B,"$30,000,000 ",Mumbai,Financial lending firm to SMEs,2014,Paragon Partners,"Bhatia, Sneha Shah"
Rupeek,Fintech,,"$30,000,000 ",Bangalore,An asset backed online lending platform,2015,"GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners","Amar Prabhu, Ashwin Soni, Sumit Maniyar"
Leap India,Agritech,Series B,"$30,000,000 ",Coimbatore,Agricultural warehousing and logistics company,,Neev Fund,Narain Karthikeyan.
Bizongo,Marketplace,Series C,"$30,000,000 ",Mumbai,A B2B marketplace for packaging materials,2015,Schroder Adveq,"Sachin Agarwal, Aniket Deb, Ankit Tomar"
Zoomcar,Transport & Rentals,Series D,"$30,000,000 ",Bangalore,A car rental service platform,2013,Sony Innovation Fund,"Greg Moran, David Back"
Phenom People,HR tech,Series C,"$30,000,000 ",,It redefines the means to search for a job and recruit top talent,2010,WestBridge Capital,Mahe Bayireddi
Lead School,EdTech,Series D,"$30,000,000 ",Mumbai,LEAD School offers technology based school transformation system that assures excellent learning for every child.,2012,"GSV Ventures, Westbridge Capital","Smita Deorah, Sumeet Mehta"
Zupee,Gaming,,"$30,000,000 ",Gurugram,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications",2018,"WestCap Group, Tomales Bay Capital","Dilsher Singh, Siddhant Saurabh"
MoEngage,Software Startup,Series D,"$30,000,000 ",Bangalore,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,2014,Steadview Capital,"Raviteja Dodda, Yashwanth Kumar"
Ninety One,Consumer Goods,Series A,"$30,000,000 ",Ahmedabad,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.",2015,A91 Partners,"Sachin Chopra, Vishal Chopra"
Doubtnut,EdTech,Series B,"$30,000,000 ",Gurugram,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.",2016,"Omidyar Network, Tencent Holdings","Aditya Shankar, Tanushree Nagori"
Pepperfry,E-commerce,Debt,"$30,000,000 ",Mumbai,Pepperfry is an online home and lifestyle shopping store selling products with cash on delivery facilities.,2011,"InnoVen Capital, Bertelsmann India Investments","Ambareesh Murty, Ashish Shah"
DeHaat,AgriTech,Series C,"$30,000,000 ",Patna,DeHaat connects farmers to suppliers and buyers on a single platform.,2012,"Prosus Ventures, RTP Global","Shashank Kumar, Manish Kumar"
Annapurna Finance,FinTech,,"$30,000,000 ",Bhubaneswar,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,2009,"Asian Development Bank, Oman India Joint Investment Fund",Gobinda Chandra Pattnaik
Nazara Technologies,Gaming,,"$30,000,000 ",Mumbai,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.",2000,"Hornbill Capital Advisers, Plutus Wealth Management",Nitish Mittersain
Koo,Social Media,Series B,"$30,000,000 ",Bangalore,Koo App operates as a microblogging app.,2020,"Balaji Srinivasan, Naval Ravikant","Aprameya Radhakrishna, Mayank Bidawatka"
Jai Kisan,FinTech,Series A,"$30,000,000 ",Mumbai,Jai Kisan is a fintech platform that provides sustainable financing for rural emerging markets,2017,"The Chatterjee Group, Prophetic Ventures","Adriel Maniego, Arjun Ahluwalia"
Vayana Network,Financial Services,Series C,"$30,000,000 ",Pune,"Vayana Network is an electronic network that connects Corporates and their Supply Chain to Financial Institutions for easy, quick and low-cost access to Trade Financing of their Payables and Receivables.",2017,"CDC Group, Jungle Ventures, March Capital, Marshall Wace",Ramaswamy Iyer
True Balance,Financial Services,,"$30,000,000 ",Gurugram,"Balancehero India Private Limited (BHI), the wholly owned subsidiary of Balancehero Co. Ltd., Korea which runs and operates mobile App “True Balance”.",2014,"Northern Arc, Arthmate, Shine Star, E clear, Hinduja",Cheolwon Lee
Progcap,FinTech,Series C,"$30,000,000 ",New Delhi,"Progcap (Desiderata Impact Ventures Private Limited) is a mission-driven, inclusive financing technology firm",2016,Tiger Global,"Pallavi Shrivastava, Himanshu Chandra"
ReshaMandi,B2B,Series A,"$30,000,000 ",Bangalore,"ReshaMandi provides a full-stack digital ecosystem in the form of a super app, from FARM to RETAIL.",2020,"9Unicorns, Venture Catalysts, Sandeep Singhal",Utkarsh Apoorva
ApplicateAI,Information Technology & Services,Series A,"$30,000,000 ",Gurugram,"‘ApplicateAI’ is an integrated AI BOT platform for Enterprise with defined and curated work-flows for Sales, Consumer Engagement and Employee support and engagement.",2014,,"Madhusudan Atmakuri, Ranjeet Kumar"
CredAble,Financial Services,Series B,"$30,000,000 ",Mumbai,CredAble provides liquidity programs for enterprise supply chains.,2017,"Plutus Wealth, Oaks Asset Management",Nirav Choksi
Sterling Accuris Wellness,Hospital & Health Care,,"$30,000,000 ",Ahmedabad,"STERLING ACCURIS WELLNESS PRIVATE LIMITED is a hospital & health care company based out of 3-FLOOR HERITAGE COMPLEX, NR.",2016,Morgan Stanley Private Equity Asia,Girish Patel
Bijnis,B2B startup,Series B,"$30,000,000 ",New Delhi,Bijnis is revolutionizing the way manufacturers operate and scale their factories by digitizing their Demand/Supply/Captial/Operations.,2015,Westbridge Capital,"Siddharth, Chaitanya Rathi, Siddharth Rastogi, Shubham Agarwal"
Leena AI,Computer Software,Series B,"$30,000,000 ",Gurugram,AI to help enterprises transform the employee experience.,2015,Bessemer Venture Partners,"Mayank Goyal, Anand Prajapati"
LifeCell,Biotechnology,,"$30,000,000 ",Chennai,A building block of the team that preserves the building blocks of life,2004,Orbimed Asia Partners,S. Abhaya Kumar
FloBiz,Information Technology & Services,Series B,"$31,000,000 ",Bangalore,Neobank for Growing SMBs. Simplify GST Billing & Accounting needs with myBillBook App.,2019,Sequoia Capital India,"Rahul Raj, Aditya Naik, Rakesh Yadav"
Zetwerk,Manufacturing,Series B,"$32,000,000 ",Bangalore,Provides facilities to get products manufactured.,2018,"Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital","Amit Acharya, Srinath Ramakkrushnan"
Whatfix,SaaS,Series C,"$32,000,000 ",Banglore,"Digital adoption platform that helps companies provide intuitive onboarding, training and support",2014,Sequoia Capital India,"Khadim Batti, Vara Kumar"
Waycool,Agritech,Series C,"$32,000,000 ",Chennai,Food development and distribution services,2015,LightBox Ventures,Karthick Jayraman and Sanjay Dasari
Zorro,Social network,Seed,"$32,000,000 ",Gurugram,Pseudonymous social network platform,2021,"Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose","Jasveer Singh, Abhishek Asthana, Deepak Kumar"
Zorro,Social network,Seed,"$32,000,000 ",Gurugram,Pseudonymous social network platform,2021,"Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose","Jasveer Singh, Abhishek Asthana, Deepak Kumar"
Vedic Cosmeceuticals,Cosmetics,Series A,"$32,000,000 ",Noida,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,2002,Sixth Sense Ventures,Mohit Goel
Ess Kay Fincorp,Banking,,"$33,000,000 ",Rajasthan,Organised Non-Banking Finance Company,,"TPG, Norwest Venture Partners, Evolvence India",Rajendra Setia
Pravasirojgar,Job portal,,"$33,000,000 ",,Initiative for blue-collar job workers,2020,GoodWorker.,Sonu Sood
Toppr,"EdTech, Education, Knowledge Management",Series C,"$35,000,000 ","Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India., , , 
Netmeds,"Biotechnology, Health Care, Pharmaceutical",Series C,35000000,"Chennai, Tamil Nadu, India",Welcome to India's most convenient pharmacy!, , , 
Cashfree,FinTech,Series B,"$35,000,000 ",Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2015,"George Osborne, Smilegate Investment","Akash Sinha, Reeju Datta"
Ather Energy,Automobiles,Series D,"$35,000,000 ",Bangalore,Ather Energy is a manufacturer of electric scooters.,2013,HeroMotoCorp Ltd and Sachin Bansal,"Arun Vinayak, Swapnil Jain, Tarun Mehta"
Toppr,EdTech,Series D,"$35,000,000 ",Mumbai,Toppr is an Indian educational technology and online tutoring firm,2013,"Kaizenvest, Foundation Holdings","Zishaan Hayath, Hemanth Goteti"
Vogo,Automotive,Series C,"$35,000,000 ",Bangalore,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,2016,Lightstone Aspada,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal"
Uable,EdTech,Pre-series A,"$35,000,000 ",Bangalore,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,2020,"JAFCO Asia, Chiratae Ventures",Saurabh Saxena
CollegeDekho,E-learning,Series B,"$35,000,000 ",Gurgaon,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals",2015,"Disrupt ADQ, QIC",Ruchir Arora
Ati Motors,Automotive,Pre-series A,"$35,000,000 ",Bangalore,Autonomous industrial vehicle maker,2017,"Blume Ventures, Exfinity Venture Partners","Saurabh Chandra, Saad Nasser"
M2P Fintech,Financial Services,Series C,"$35,000,000 ",Chennai,"M2P fintech was born out of the need to build highly scalable, secure yet nimble technology stack at the intersection of Mobility, Commerce and payments.",2015,Tiger Global,Madhusudanan R
Exotel,Telecommunications,Series C,"$35,000,000 ",Bangalore,"Asia's largest customer engagement platform, streamlining customer interactions for Swiggy, Ola, Flipkart, GoJek etc.",2011,"IIFL AMC, Sistema Asia Fund, CX Partners, Singularity Growth Opportunities Fund","Shivakumar Ganesan, Ishwar Sridharan, Siddharth Ramesh, Vijay Sharma"
DailyHunt,Media,,"$35,600,000 ",,News aggregator,2009,Lupa India,Virendra Gupta
Ecom Express,Logistics,,"$36,000,000 ",Gurugram,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,2012,CDC Group,"Krishnan, Manju Dhawan, K Satyanarayana, Sanjeev Saxena"
G.O.A.T,D2C,Series A,"$36,000,000 ",Bangalore,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,2021,"Tiger Global, Flipkart Ventures","Rishi Vasudev, Rameswar Misra"
Heads Up For Tails,Pet care,Series A,"$37,000,000 ",New Delhi,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",2008,"Verlinvest, Sequoia Capital India",Rashi Sanon
Mamaearth,"Health, Wellness & Fitness",,"$37,000,000 ",Gurugram,Baby and mother care brand,2016,Sequoia,"Ghazal, Varun Alagh"
WalMart India,Retail,Venture - Series Unknown,"$37,680,000 ","Gurgaon, Haryana, India","Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,", , , 
